iter	RMSE
0	0.4447850541
1	0.4352694261
2	0.4268730246
3	0.4198541843
4	0.4137465834
5	0.4080625938
6	0.4030298662
7	0.3986920631
8	0.3936657063
9	0.3902924275
10	0.3872417885
11	0.3839364051
12	0.38003163
13	0.3777668513
14	0.3749047383
15	0.3722615318
16	0.3703996384
17	0.3676577382
18	0.3661000474
19	0.3641195729
20	0.3616402495
21	0.3596823724
22	0.3573824053
23	0.3562579281
24	0.3543167368
25	0.3532483209
26	0.3505167377
27	0.3496240878
28	0.3484348325
29	0.3461265905
30	0.3440886949
31	0.3432083022
32	0.3425996054
33	0.3418795829
34	0.3404686852
35	0.3395313119
36	0.3376292462
37	0.3364070081
38	0.3348237344
39	0.3342327904
40	0.3332694738
41	0.3325092944
42	0.3320635357
43	0.3312206491
44	0.3301868348
45	0.3291258835
46	0.3285280211
47	0.327384014
48	0.3265685141
49	0.3261810918
50	0.3257497955
51	0.325447743
52	0.3250816643
53	0.3247236182
54	0.3243005832
55	0.3234918744
56	0.3229993197
57	0.3226602236
58	0.3223451236
59	0.3214978142
60	0.321202304
61	0.3209133771
62	0.3206440641
63	0.320027421
64	0.3197133425
65	0.3194609236
66	0.3191994149
67	0.318506105
68	0.3182039803
69	0.3179835478
70	0.3177797707
71	0.3175414072
72	0.3172736941
73	0.3169929743
74	0.3167071217
75	0.3160793987
76	0.3156807379
77	0.3151308366
78	0.3144192613
79	0.3141767683
80	0.3138291531
81	0.3134301113
82	0.3132971868
83	0.3130319729
84	0.3128451689
85	0.3126814765
86	0.3124818025
87	0.3121928934
88	0.3118239109
89	0.3107418996
90	0.3105504013
91	0.3103297546
92	0.3100453325
93	0.309908167
94	0.3096577782
95	0.3085665054
96	0.3083505762
97	0.3078469395
98	0.3075451221
99	0.3073259786
100	0.3070262912
101	0.3067610548
102	0.3066295857
103	0.3062765691
104	0.3061245804
105	0.3059646131
106	0.3058020038
107	0.3056234814
108	0.3053249141
109	0.3051742338
110	0.3050523773
111	0.304921332
112	0.3040673739
113	0.3032364673
114	0.303150407
115	0.3028767293
116	0.3027307048
117	0.3025775896
118	0.3023665015
119	0.3022436059
120	0.302099102
121	0.3017678969
122	0.3016604422
123	0.3015334359
124	0.3013001297
125	0.3011640753
126	0.3010147676
127	0.3005724017
128	0.3004265668
129	0.3002494241
130	0.2998613679
131	0.2997377634
132	0.2996266712
133	0.2993646385
134	0.299220016
135	0.299048098
136	0.2989046998
137	0.298233804
138	0.2979669545
139	0.2978061266
140	0.2976030291
141	0.2973841044
142	0.2972562634
143	0.2970513466
144	0.2969189862
145	0.2965914115
146	0.2964489442
147	0.2962654954
148	0.296150291
149	0.2960330668
150	0.2958189368
151	0.2956453331
152	0.2955821137
153	0.295462508
154	0.2953121529
155	0.2950415997
156	0.2949319494
157	0.2948183569
158	0.29471823
159	0.2944343488
160	0.2942668585
161	0.2941051323
162	0.2936625555
163	0.2934751865
164	0.2933167118
165	0.2931947753
166	0.2928099201
167	0.292660509
168	0.292572355
169	0.2922157514
170	0.2919373761
171	0.2917933521
172	0.2917009323
173	0.2915521774
174	0.2914455095
175	0.2911997344
176	0.2910972078
177	0.2909524347
178	0.2908240108
179	0.2907021375
180	0.2905868493
181	0.2904315195
182	0.2903296647
183	0.2902489401
184	0.2900009998
185	0.2898621527
186	0.289707989
187	0.2896096641
188	0.2894508667
189	0.2893549821
190	0.2892344245
191	0.2891242441
192	0.2890323632
193	0.2888606027
194	0.2887456717
195	0.2885954985
196	0.2884929004
197	0.2884019693
198	0.2883012084
199	0.2881681608
200	0.2880764527
201	0.2880020033
202	0.2878990755
203	0.2877583478
204	0.2876491889
205	0.2875448195
206	0.2874171126
207	0.2873303017
208	0.2872321746
209	0.2871428334
210	0.2868440216
211	0.2867450306
