iter	Passed	Remaining
0	1	1191
1	2	1150
2	3	1193
3	4	1164
4	5	1140
5	6	1137
6	8	1141
7	9	1131
8	10	1127
9	11	1130
10	12	1128
11	13	1129
12	14	1129
13	16	1130
14	17	1132
15	18	1133
16	19	1130
17	20	1122
18	21	1097
19	22	1096
20	23	1095
21	24	1093
22	25	1093
23	26	1092
24	27	1090
25	29	1092
26	30	1092
27	31	1091
28	32	1088
29	33	1086
30	34	1084
31	35	1083
32	36	1083
33	38	1083
34	39	1082
35	40	1081
36	41	1082
37	42	1080
38	43	1078
39	44	1076
40	45	1074
41	47	1072
42	48	1071
43	49	1070
44	50	1069
45	51	1068
46	52	1066
47	53	1065
48	54	1063
49	55	1062
50	57	1064
51	58	1062
52	59	1061
53	60	1060
54	61	1060
55	62	1060
56	64	1059
57	65	1059
58	66	1059
59	67	1058
60	68	1057
61	69	1054
62	70	1053
63	71	1051
64	73	1050
65	74	1048
66	75	1046
67	76	1045
68	77	1044
69	78	1044
70	79	1042
71	80	1041
72	81	1040
73	83	1039
74	84	1037
75	85	1036
76	86	1034
77	87	1035
78	88	1034
79	89	1034
80	91	1032
81	92	1031
82	93	1031
83	94	1030
84	95	1030
85	96	1030
86	98	1028
87	99	1028
88	100	1027
89	101	1027
90	102	1026
91	103	1026
92	105	1025
93	106	1023
94	107	1022
95	108	1022
96	109	1021
97	110	1020
98	111	1018
99	113	1018
100	114	1018
101	115	1016
102	116	1016
103	117	1015
104	118	1014
105	120	1013
106	121	1011
107	122	1010
108	123	1009
109	124	1008
110	125	1008
111	127	1007
112	128	1006
113	129	1005
114	130	1004
115	131	1002
116	132	1002
117	133	1000
118	135	999
119	136	999
120	137	998
121	139	1001
122	140	1001
123	141	1000
124	142	999
125	143	998
126	145	997
127	146	996
128	147	995
129	148	994
130	149	994
131	150	992
132	151	990
133	153	989
134	154	988
135	155	987
136	156	986
137	157	985
138	159	984
139	160	983
140	161	982
141	162	981
142	163	980
143	164	978
144	165	977
145	166	976
146	168	974
147	169	974
148	170	972
149	171	971
150	172	970
151	173	969
152	174	967
153	175	966
154	177	965
155	178	964
156	179	964
157	180	963
158	181	962
159	183	960
160	184	959
161	185	958
162	186	957
163	187	956
164	188	954
165	190	956
166	191	955
167	192	954
168	193	952
169	194	951
170	196	951
171	197	950
172	198	948
173	199	947
174	200	946
175	201	944
176	202	943
177	204	943
178	206	945
179	207	944
180	208	943
181	209	942
182	210	941
183	211	939
184	213	938
185	214	937
186	215	936
187	216	934
188	217	933
189	218	932
190	219	931
191	221	930
192	222	928
193	223	927
194	224	926
195	225	924
196	226	923
197	227	922
198	228	921
199	229	919
200	231	918
201	232	917
202	233	916
203	235	917
204	236	916
205	237	914
206	238	913
207	239	912
208	240	910
209	241	909
210	242	907
211	243	906
212	244	905
213	246	903
214	247	902
215	248	901
216	249	900
217	250	899
218	251	897
219	252	896
220	254	895
221	255	894
222	256	893
223	257	891
224	258	890
225	259	889
226	261	888
227	262	887
228	263	886
229	264	884
230	266	885
231	267	884
232	268	883
233	269	882
234	270	880
235	271	879
236	272	878
237	274	877
238	275	876
239	276	874
240	277	873
241	278	872
242	279	871
243	280	870
244	281	868
245	283	867
246	284	866
247	285	864
248	286	863
249	287	862
250	288	861
251	289	860
252	290	859
253	292	857
254	293	856
255	294	855
256	295	854
257	296	853
258	297	852
259	298	850
260	300	849
261	301	848
262	302	847
263	303	845
264	304	844
265	305	843
266	306	842
267	307	841
268	309	839
269	310	838
270	311	837
271	312	836
272	313	834
273	314	833
274	315	832
275	316	830
276	317	829
277	319	828
278	320	827
279	321	826
280	322	825
281	323	823
282	324	822
283	325	821
284	326	819
285	327	818
286	329	817
287	330	816
288	331	814
289	332	813
290	333	812
291	334	811
292	335	810
293	336	809
294	338	807
295	339	806
296	340	805
297	341	804
298	342	802
299	343	801
300	344	800
301	345	799
302	346	798
303	348	796
304	349	795
305	350	794
306	351	793
307	352	791
308	353	790
309	354	789
310	355	788
311	356	787
312	358	785
313	359	784
314	360	783
315	361	782
316	362	781
317	363	779
318	364	778
319	365	777
320	367	776
321	368	775
322	369	774
323	370	772
324	371	771
325	372	770
326	373	769
327	374	768
328	376	766
329	377	765
330	378	764
331	379	763
332	380	762
333	381	761
334	382	759
335	383	758
336	385	757
337	386	756
338	387	755
339	388	754
340	389	753
341	390	752
342	392	750
343	393	749
344	394	748
