,collisions,speed (on enter),braking force,braking force (norm),dtc (front),ttc (front),dtc (inter),dtc (approach),tl state (on enter),foes in inter (on enter),time (on enter),time (end),n stops,side move,run red light,envelope_id,stage,is_target
0,[],0.0,3.526284089362519,0.7052568178725038,2.022457115760517,1.0665800648328603,1.0331915712578528,1.400000000000034,GGgrrrGGgrrr,"['nb_left1' 'nb_left2' 'nb_right3' 'nb_straight1' 'nb_straight2'
 'sb_left1' 'sb_left2']",8.799999999999997,17.699999999999996,1.0,8.599999999999998,True,0,seq,True
1,[],4.0445466106589505,3.543459731278147,0.7086919462556294,2.0010000000000328,1.0637146229375927,0.900243574620084,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right2' 'eb_right3' 'eb_straight1' 'wb_left1' 'wb_right2'
 'wb_right3' 'wb_straight2']",27.0,33.5,1.0,-1.0,False,0,fs,False
2,[],4.0445466106589505,3.526284089362519,0.7052568178725038,2.0010000000000328,1.0665800648328603,0.900243574620084,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right2' 'eb_right3' 'eb_straight1' 'wb_left1' 'wb_right2'
 'wb_right3' 'wb_straight2' 'wb_straight3']",27.0,33.5,1.0,-1.0,False,0,fs,False
3,[],5.504662328252307,2.2770445579273413,0.45540891158546826,2.0010000000000328,1.3385253029504467,0.0,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_right2' 'eb_right3' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right3' 'wb_right4' 'wb_straight3']",30.5,36.199999999999996,1.0,-1.0,False,0,brrt,False
4,[],0.0,3.483965841061989,0.6967931682123978,2.00277132290654,1.072576651915124,1.0331915712578585,1.400000000000034,GGgrrrGGgrrr,['nb_left1' 'nb_left2' 'nb_right3' 'nb_straight2' 'sb_left1' 'sb_left2'],9.500000000000002,18.4,2.0,9.299999999999999,True,0,brrt,True
5,[],5.504662328252307,2.494696190604528,0.49893923812090557,2.0010000000000328,1.2739120001905717,0.0,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_right3' 'eb_right4' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right3' 'wb_right4']",34.5,40.199999999999996,1.0,-1.0,False,0,brrt,False
6,[],5.504662328252307,2.5126159544684104,0.502523190893682,2.0010000000000328,1.2660320894868766,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_right4' 'eb_straight2' 'wb_left1' 'wb_left2'
 'wb_right3' 'wb_right4']",36.5,42.199999999999996,1.0,-1.0,False,0,brrt,False
7,[],5.504662328252307,2.3761141605815066,0.47522283211630134,2.0010000000000328,1.3044041403296944,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left2' 'eb_right4' 'eb_straight2' 'wb_left1' 'wb_left2'
 'wb_right3' 'wb_right4' 'wb_straight2' 'wb_straight3']",29.5,35.199999999999996,1.0,-1.0,False,0,brrt,False
8,[],5.504662328252307,2.259305391405293,0.4518610782810586,2.0010000000000328,1.3448900614246677,0.0,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_straight2' 'wb_left1' 'wb_left2' 'wb_right4'
 'wb_straight2' 'wb_straight3']",22.5,28.199999999999996,1.0,-1.0,False,0,brrt,False
9,[],5.504662328252307,3.2313280731139127,0.6462656146227825,2.0010000000000328,1.11348644200167,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_right3' 'eb_straight2' 'wb_left1' 'wb_left2'
 'wb_right3' 'wb_right4']",39.5,45.199999999999996,1.0,-1.0,False,0,brrt,False
10,[],5.504662328252307,2.276056382901275,0.45521127658025506,2.0010000000000328,1.336208184654964,0.9038449805494414,1.400000000000034,rrrGGgrrrGGg,"['eb_left3' 'eb_left4' 'eb_right2' 'eb_right3' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right3' 'wb_right4' 'wb_straight2' 'wb_straight4']",35.5,41.199999999999996,1.0,-1.0,False,0,brrt,False
11,[],4.0445466106589505,3.483965841061989,0.6967931682123978,2.0010000000000328,1.072576651915124,0.900243574620084,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right2' 'eb_right3' 'eb_straight1' 'wb_left1' 'wb_right2'
 'wb_right3' 'wb_straight2' 'wb_straight3']",36.0,42.5,1.0,-1.0,False,0,brrt,False
12,[],4.0445466106589505,3.483965841061989,0.6967931682123978,2.0010000000000328,1.072576651915124,0.6738971635500047,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right2' 'eb_right3' 'eb_straight1' 'wb_left1' 'wb_right2'
 'wb_right3' 'wb_straight2' 'wb_straight3']",19.0,25.5,1.0,-1.0,False,0,brrt,False
13,[],4.0445466106589505,3.594880436415846,0.7189760872831692,2.0010000000000328,1.0552128889660513,0.6738971635500047,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right1' 'eb_right2' 'eb_straight1' 'wb_left1' 'wb_right2'
 'wb_right3' 'wb_straight2']",29.0,35.5,1.0,-1.0,False,0,brrt,False
14,[],0.0,3.056019899811717,0.6112039799623434,2.015622086809344,1.1457440699899943,1.6681334126975795,1.400000000000034,GGgrrrGGgrrr,"['nb_left1' 'nb_left2' 'nb_right3' 'nb_straight1' 'nb_straight2'
 'sb_left1' 'sb_left2' 'sb_straight3' 'sb_straight4']",8.500000000000002,34.4,3.0,8.299999999999999,True,0,brrt,True
15,[],5.504662328252307,2.5399146831441834,0.5079829366288366,2.0010000000000328,1.2595819565098167,0.0,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_right3' 'eb_right4' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right3' 'wb_right4']",38.5,44.199999999999996,1.0,-1.0,False,0,brrt,False
16,[],5.504662328252307,2.020962119546957,0.4041924239093914,2.0010000000000328,1.422387027375296,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_right3' 'eb_right4' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right3' 'wb_right4']",38.5,44.3,1.0,-1.0,False,0,brrt,False
17,[],4.0445466106589505,3.228782009483951,0.6457564018967903,2.0010000000000328,1.113850614498381,0.900243574620084,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right1' 'eb_right3' 'eb_straight1' 'wb_left1' 'wb_right3'
 'wb_right4' 'wb_straight1' 'wb_straight2']",35.0,41.5,1.0,-1.0,False,0,brrt,False
18,[],4.0445466106589505,3.6944059364048543,0.7388811872809709,2.0010000000000328,1.041366969455424,0.900243574620084,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right1' 'eb_right2' 'eb_straight1' 'wb_left1' 'wb_right3'
 'wb_right4' 'wb_straight2' 'wb_straight3']",39.0,45.5,1.0,-1.0,False,0,brrt,False
19,[],4.0445466106589505,3.848103606706814,0.7696207213413628,2.0010000000000328,1.019848036319752,0.900243574620084,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right1' 'eb_right2' 'eb_straight1' 'wb_left1' 'wb_right2'
 'wb_right3' 'wb_straight1' 'wb_straight2']",30.0,36.5,1.0,-1.0,False,0,brrt,False
20,[],0.0,9.000000000000004,2.000000000000001,2.0045886095197147,1.0383063825586385,1.0331915712578585,1.400000000000034,rrGrrrrrGrrr,['nb_left1' 'nb_left2' 'sb_left1' 'sb_left2'],6.899999999999999,17.5,2.0,6.699999999999996,True,0,brrt,True
21,[],5.504662328252307,1.9689540961886376,0.3937908192377275,2.0010000000000328,1.4416908895805733,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left2' 'eb_right3' 'eb_right4' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right2' 'wb_right3' 'wb_straight2' 'wb_straight4']",37.5,43.199999999999996,1.0,-1.0,False,0,brrt,False
22,[],5.504662328252307,1.9912553051709214,0.3982510610341843,2.0010000000000328,1.4357659472615683,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_right2' 'eb_right3' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right2' 'wb_right3' 'wb_straight3']",26.5,32.199999999999996,1.0,-1.0,False,0,brrt,False
23,[],5.504662328252307,2.0226598183367406,0.4045319636673481,2.0010000000000328,1.4288245273415408,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left3' 'eb_left4' 'eb_right2' 'eb_right3' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right4' 'wb_straight3']",23.5,29.199999999999996,1.0,-1.0,False,0,brrt,False
24,[],12.581705486212885,0.0,0.0,18.86090802400372,12.942566659039592,0.9118736007194893,1.400000000000034,rrrGGgrrrGGg,['eb_straight1' 'wb_left1' 'wb_left2' 'wb_right2'],5.5,9.299999999999997,0.0,-1.0,False,0,brrt,False
25,[],0.06040261029759496,3.079846529998097,0.6159693059996194,2.1309571101155673,3.028817807367678,0.9002435746200597,1.400000000000034,rrrGGgrrrGGg,['eb_right2' 'eb_straight1' 'wb_left1' 'wb_left2' 'wb_straight2'],8.399999999999999,18.6,0.0,-1.0,False,0,brrt,False
26,[],4.0445466106589505,3.7178904302089855,0.7435780860417971,2.0010000000000328,1.0375438790945375,0.900243574620084,1.400000000000034,rrrGGgrrrGGg,"['eb_left2' 'eb_right1' 'eb_right2' 'eb_straight1' 'wb_left1' 'wb_right3'
 'wb_right4' 'wb_straight1' 'wb_straight2']",15.0,21.5,1.0,-1.0,False,0,brrt,False
27,[],4.0445466106589505,3.6844069037579885,0.7368813807515977,2.0010000000000328,1.0433952468070196,0.900243574620084,1.400000000000034,rrrGGgrrrGGg,"['eb_left2' 'eb_right2' 'eb_right3' 'eb_straight1' 'wb_left1' 'wb_right1'
 'wb_right2' 'wb_straight1' 'wb_straight2']",27.0,33.5,1.0,-1.0,False,0,brrt,False
28,[],5.504662328252307,3.5316827709485907,0.7063365541897182,2.0010000000000328,1.064639041142564,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left3' 'eb_left4' 'eb_right2' 'eb_right3' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right3' 'wb_right4' 'wb_straight3']",31.5,37.199999999999996,1.0,-1.0,False,0,brrt,False
29,[],5.504662328252307,2.0886780431670147,0.4177356086334029,2.0010000000000328,1.4005059410713572,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left3' 'eb_left4' 'eb_right2' 'eb_right3' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right3' 'wb_right4' 'wb_straight2' 'wb_straight3']",16.5,22.199999999999996,1.0,-1.0,False,0,brrt,False
30,[],5.504662328252307,2.9067527068119836,0.5813505413623967,2.0010000000000328,1.1753391256962975,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left3' 'eb_right2' 'eb_right3' 'eb_straight2' 'wb_left1'
 'wb_left3' 'wb_right3' 'wb_right4' 'wb_straight3' 'wb_straight4']",28.5,34.199999999999996,1.0,-1.0,False,0,brrt,False
31,[],11.34444444444442,0.0,0.0,23.66793599444441,42.85835858534105,0.9035260146131938,4.60000000000008,rrrGGgrrrGGg,['eb_right2' 'wb_left1' 'wb_left2' 'wb_straight3'],6.899999999999999,10.600000000000001,0.0,-1.0,False,0,brrt,False
32,[],5.504662328252307,2.8291061559959156,0.5658212311991832,2.0010000000000328,1.1913526170219284,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_left2' 'eb_right3' 'eb_right4' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right3' 'wb_right4' 'wb_straight2' 'wb_straight3']",30.5,36.199999999999996,1.0,-1.0,False,0,brrt,False
33,[],5.504662328252307,2.1323066540072477,0.42646133080144955,2.0010000000000328,1.3944175670801644,0.9098932308876247,1.400000000000034,rrrGGgrrrGGg,"['eb_left2' 'eb_left3' 'eb_right2' 'eb_right3' 'eb_straight2' 'wb_left1'
 'wb_left2' 'wb_right4' 'wb_straight2' 'wb_straight3']",19.5,25.199999999999996,1.0,-1.0,False,0,brrt,False
34,[],8.742044311487446,1.1318783027146218,0.22637566054292435,9.503632046793768,3.1856889512122395,0.9046941149643084,1.400500916554563,rrrGGgrrrGGg,['eb_left1' 'eb_left2' 'eb_straight2' 'wb_left1' 'wb_left2' 'wb_right2'],6.699999999999996,11.100000000000001,0.0,-1.0,False,0,brrt,False
35,[],10.95519104681212,0.05749465396013065,0.01149893079202613,14.649531189480566,6.579120070843973,0.9029732284032785,1.400000000000034,rrrGGgrrrGGg,"['eb_left1' 'eb_right2' 'eb_straight1' 'wb_left1' 'wb_left2' 'wb_right1'
 'wb_straight2']",5.5,9.5,0.0,-1.0,False,0,brrt,False
36,[],9.672728976079428,0.055989480925635604,0.01119789618512712,12.911807903807743,6.312990458000248,0.9115873445797931,1.400000000000034,rrrGGgrrrGGg,['eb_left1' 'eb_straight1' 'wb_left1' 'wb_left2' 'wb_straight3'],6.600000000000001,10.999999999999993,0.0,-1.0,False,0,brrt,False
37,[],7.945235085753828,1.2221861791664956,0.24443723583329913,9.779336441554106,3.1100355985611925,0.9002435746200365,1.400000000000034,rrrGGgrrrGGg,['eb_left2' 'eb_right2' 'eb_straight1' 'wb_left1' 'wb_left2'],6.5,11.199999999999996,0.0,-1.0,False,0,brrt,False
